RA,DEC,Redshift,Comoving_dist,X,Y,Z
156.376220,14.035377,0.100427,420.211734,-373.502894,163.364043,101.910150
240.229650,34.764415,0.101394,424.172146,-173.018501,-302.470176,241.864426
229.104820,58.405960,0.102770,429.803266,-147.415486,-170.210023,366.098443
140.705287,19.227629,0.317500,1258.374353,-919.530363,752.485199,414.410362
203.266450,62.767714,0.318160,1260.774806,-530.012198,-227.891491,1121.028836
148.149520,40.880233,0.318677,1262.665444,-810.927948,503.786295,826.389287
195.303890,59.226147,0.319097,1264.192092,-623.888191,-170.722024,1086.185602
150.556494,34.704908,0.321000,1271.093844,-909.994018,513.666032,723.697213
188.372670,57.927367,0.321617,1273.344394,-668.931755,-98.453233,1079.001027
139.167860,25.700606,0.322239,1275.594157,-869.670752,751.531387,553.185151
221.677533,40.812281,0.325500,1287.410602,-727.765761,-647.903909,841.429485
122.070446,28.241983,0.326120,1289.655438,-603.241842,962.752707,610.260318
219.104500,0.635940,0.327679,1295.300257,-1005.087034,-816.943159,14.376562
181.323075,66.674900,0.327810,1295.770434,-512.920687,-11.846478,1189.871021
121.325174,9.425978,0.330400,1305.130595,-669.368689,1099.829211,213.745491
